_date,total_clones,unique_clones
2021-06-17,122,75
2021-06-18,200,81
2021-06-19,114,54
2021-06-20,55,22
2021-06-21,82,30
2021-06-22,31,8
2021-06-23,20,5
2021-06-24,6,4
2021-06-25,7,3
2021-06-26,16,3
2021-06-27,47,4
2021-06-28,32,15
2021-06-29,45,7
2021-06-30,9,4
2021-07-01,148,9
2021-07-02,37,7
2021-07-03,28,5
2021-07-04,37,3
2021-07-05,32,8
2021-07-06,17,12
2021-07-07,97,39
2021-07-08,200,66
2021-07-09,135,42
2021-07-10,110,42
2021-07-11,57,20
2021-07-12,98,10
2021-07-13,27,8
2021-07-14,39,7
2021-07-15,143,50
2021-07-16,77,47
2021-07-17,57,21
2021-07-18,97,42
2021-07-19,115,53
2021-07-20,315,69
2021-07-21,279,66
2021-07-22,257,75
2021-07-23,367,72
2021-07-24,241,51
2021-07-25,393,50
2021-07-26,272,66
2021-07-27,405,93
2021-07-28,349,90
2021-07-29,240,79
2021-07-30,270,83
2021-07-31,256,82
2021-08-01,216,78
2021-08-02,77,41
2021-08-03,144,52
2021-08-04,135,58
2021-08-05,194,57
2021-08-06,120,43
2021-08-07,127,29
2021-08-08,92,26
2021-08-09,122,59
2021-08-10,175,75
2021-08-11,276,94
2021-08-12,210,86
2021-08-13,137,67
2021-08-14,173,51
2021-08-15,118,51
2021-08-16,22,16
